Designator,Mid X,Mid Y,Rotation,Layer,Type,XSize,YSize,Value,Footprint
U2,16,62.25,0,top,SMD,5.399997,6.009999,,
C5,16,31.4,0,top,SMD,2.77071,1.32071,0.1uF,
U1,16,86.75,0,top,SMD,5.399997,6.009999,,
J2,17.75,70.75,180,top,PTH,12.65,4.65,,PTH_35RAPC2AV
C1,16,80.4,0,top,SMD,2.77071,1.32071,0.1uF,
VR1,27.75,83,180,bottom,PTH,2.775,12.855,10k立,PTH_POT_24MM5_17MM0
C7,16,6.9,0,top,SMD,2.77071,1.32071,0.1uF,
U3,16,37.75,0,top,SMD,5.399997,6.009999,,
R3,16,41.5,180,top,SMD,2.77071,1.32071,1K,
C6,16,34,180,top,SMD,2.77071,1.32071,0.1uF,
C2,16,83,180,top,SMD,2.77071,1.32071,0.1uF,
VR2,27.75,58.5,180,bottom,PTH,2.775,12.855,10k立,PTH_POT_24MM5_17MM0
J1,17.75,95.25,180,top,PTH,12.65,4.65,,PTH_35RAPC2AV
C4,16,58.5,180,top,SMD,2.77071,1.32071,0.1uF,
J3,17.75,46.25,180,top,PTH,12.65,4.65,,PTH_35RAPC2AV
VR3,27.75,34,180,bottom,PTH,2.775,12.855,10k立,PTH_POT_24MM5_17MM0
C8,16,9.5,180,top,SMD,2.77071,1.32071,0.1uF,
J4,17.75,21.75,180,top,PTH,12.65,4.65,,PTH_35RAPC2AV
R4,16,17,180,top,SMD,2.77071,1.32071,1K,
U4,16,13.25,0,top,SMD,5.399997,6.009999,,
R2,16,66,180,top,SMD,2.77071,1.32071,1K,
R1,16,90.5,180,top,SMD,2.77071,1.32071,1K,
VR4,27.75,9.5,180,bottom,PTH,2.775,12.855,10k立,PTH_POT_24MM5_17MM0
C3,16,55.9,0,top,SMD,2.77071,1.32071,0.1uF,
J5,5,50,0,top,PTH,4.589999,19.829999,,16 Pin Header - 2 Row - 2.54mm - AWG 18 Size Holes
